,id,label,text,triple
0,2635.json,False,Says the Annies List political group supports thirdtrimester abortions on demand.,
1,10540.json,True,When did the decline of coal start? It started when natural gas took off that started to begin in President George W. Bushs administration.,
2,324.json,True,Hillary Clinton agrees with John McCain by voting to give George Bush the benefit of the doubt on Iran.,
3,1123.json,False,Health care reform legislation is likely to mandate free sex change surgeries.,
4,9028.json,True,The economic turnaround started at the end of my term.,
5,12465.json,True,The Chicago Bears have had more starting quarterbacks in the last 10 years than the total number of tenured UW faculty fired during the last two decades.,
6,2342.json,False,Jim Dunnam has not lived in the district he represents for years now.,
7,153.json,True,"Im the only person on this stage who has worked actively just last year passing, along with Russ Feingold, some of the toughest ethics reform since Watergate.",
8,5602.json,True,"However, it took 19.5 million in Oregon Lottery funds for the Port of Newport to eventually land the new NOAA Marine Operations CenterPacific.",
9,9741.json,True,Says GOP primary opponents Glenn Grothman and Joe Leibham cast a compromise vote that cost 788 million in higher electricity costs.,
10,7115.json,True,"For the first time in history, the share of the national popular vote margin is smaller than the Latino vote margin.",
11,4148.json,True,"Since 2000, nearly 12 million Americans have slipped out of the middle class and into poverty.",
12,5947.json,False,"When Mitt Romney was governor of Massachusetts, we didnt just slow the rate of growth of our government, we actually cut it.",
13,8616.json,True,The economy bled 24 billion due to the government shutdown.,
14,8705.json,False,Most of the Affordable Care Act has already in some sense been waived or otherwise suspended.,
15,10683.json,True,"In this last election in November, ... 63 percent of the American people chose not to vote, ... 80 percent of young people, and 75 percent of lowincome workers chose not to vote.",
16,620.json,True,McCain opposed a requirement that the government buy Americanmade motorcycles. And he said all buyAmerican provisions were quote disgraceful. ,
17,3863.json,False,"U.S. Rep. Ron Kind, DWis., and his fellow Democrats went on a spending spree and now their credit card is maxed out",
18,12372.json,True,"Water rates in Manila, Philippines, were raised up to 845 percent when a subsidiary of the World Bank became a partial owner.",
19,12385.json,True,"Almost 100,000 people left Puerto Rico last year.",
20,10173.json,False,Women and men both are making less when you adjust for inflation than when John Kitzhaber was first elected governor.,
21,9867.json,True,The United States has the highest corporate tax rate in the free world.,
22,12408.json,True,We just had the best year for the auto industry in America in history.,
23,2673.json,True,"Says Scott Walker favors cutting up to 350,000 families and children off health care.",
24,7057.json,False,Says Mitt Romney wants to get rid of Planned Parenthood.,
25,10215.json,False,I dont know who Jonathan Gruber is.,
26,12517.json,True,Hate crimes against American Muslims and mosques have tripled after Paris and San Bernardino.,
27,3910.json,True,Rick Perry has never lost an election and remains the only person to have won the Texas governorship three times in landslide elections.,
28,11092.json,False,"ISIS supporter tweeted at 1034 a.m. Shooting began at 1045 a.m. in Chattanooga, Tenn.",
29,12163.json,True,Youth unemployment in minority communities is about 40 to 45 percent.,
30,13237.json,True,Says Paul Ryan is still endorsing Trump.,
31,5383.json,False,"If you look at states that are right to work, they constantly do not have budget deficits and they have very good business climates.",
32,9727.json,False,What the Obama administration is going to come out with in the next several months is youre not even going to be able to burn coal very limitedly in the existing plants.,
33,8239.json,True,We cut business taxes so today 70 percent of our businesses dont pay a business tax.,
34,10121.json,True,Says Mark Pryor votes with Obama 93 percent of the time.,
35,7550.json,True,We have a federal government that thinks they have the authority to regulate our toilet seats.,
36,9018.json,True,Austin is a city that has basically doubled in size every 25 years or so since it was founded.,
37,1038.json,True,"The nuclear test conducted in our nation this time is the Earths 2,054th nuclear test. The five permanent members of the U.N. Security Council have conducted 99.99 percent of the total nuclear tests.",
38,2940.json,False,"In the case of a catastrophic event, the Atlantaarea offices of the Centers for Disease Control and Prevention will selfdestruct.",
39,8492.json,True,"Under President George W. Bush, we added 4.9 trillion to the debt. Under President Obama weve added 6.5 trillion to the debt.",
40,5352.json,False,Says a U.S. Supreme Court justice suggested that some U.S. cases will be decided based on South African law.,
41,12027.json,True,Says Marco Rubio skipped 18 defense votes including one to arm the Kurds to fight ISIS.,
42,5210.json,False,"Rep. David Cicilline is responsible for the federal loan guarantee to Solyndra, the failed solar company",
43,7993.json,False,Says Ohio budget item later signed into law by Gov. John Kasich requires women seeking an abortion to undergo a mandatory vaginal probe.,
44,1926.json,False,We have a director of homeland security who cannot use and will not use the term terrorist attack but instead substitutes manmade disaster. ,
45,11418.json,True,AfricanAmerican youth unemployment is 51 percent. Hispanic youth unemployment is 36 percent.,
46,7990.json,False,"Obamacare will provide insurance to all nonU.S. residents, even if they are here illegally.",
47,3652.json,False,President Barack Obama took exactly none of his own deficit reduction commissions ideas. Not one.,
48,12848.json,False,It was under Barack Obama and Hillary Clinton that changed the rules of engagement that probably cost Capt. Humayun Khans life.,
49,13503.json,True,Hillary Clinton in 2005 cosponsored legislation that would jail flag burners.,
50,4930.json,False,Says the paperback edition of Mitt Romneys book deleted line that Massachusetts individual mandate should be the model for the country,
51,13210.json,False,"Maggie Hassan raised tuition, making it the highest in America.",
52,8187.json,False,Says Terry McAuliffe is the person who invented the scheme to rent out the Lincoln Bedroom.,
53,12758.json,True,"We created 800,000 new jobs, we cut the unemployment rate almost in half and today New York State has more private sector jobs than it has ever had in its history",
54,10693.json,False,"We have towns in West Texas that are out of water, that are having to truck in water.",
55,13077.json,True,"In Georgia, women earn 82 cents for every dollar earned by men.",
56,3283.json,True,A federal system that verifies employees are authorized to work in the U.S. is inaccurate anywhere from 50 percent all the way up to in excess of 80 percent of the time.,
57,12981.json,False,"They were going to build the wall a while ago, not so long ago, like in 06. And they couldnt get environmental impact statements.",
58,812.json,False,Sen. Obamas campaign announced that hes choosing his cabinet.,
59,7548.json,True,"In 2008, only 54 percent of Latinos in Texas were registered to vote and only 35 percent actually turned out.",
60,6000.json,False,Only 2 percent of public high schools in the country offer PE classes.,
61,321.json,True,Said hes the only Republican candidate whos actually turned around a government economy.,
62,1779.json,True,"On military recruiters at Harvard, Elena Kagan took a position and the Supreme Court ruled unanimously that she was wrong.",
63,1833.json,True,"There are 321,092 public school teachers in Texas. And there are 313,850 nonteachers in our public schools.",
64,8584.json,False,"Under Mayor Cicilline, Providence was a sanctuary city.",
65,10829.json,False,Transgender individuals in the U.S. have a 1in12 chance of being murdered.,
66,6612.json,True,"At Bain Capital, we helped start an early childhood learning company called Bright Horizons that First Lady Michelle Obama rightly praised.",
67,12056.json,False,"Says the man who rushed the stage at him in Dayton, Ohio, had chatter about ISIS, or with ISIS in his social media posts.",
