,index,id,label,text,triple
0,491,6873.json,False,This is what President Obama said the jobless rate would be if we passed the stimulus 5.6 percent.,"[['Barack Obama', 'people/person/employment_history./business/employment_tenure/title', 'President']]"
1,493,7976.json,True,Says President Obama has cracked down on employers who are attracting undocumented immigrants and hiring them more than any previous president.,"[['Barack Obama', 'people/person/employment_history./business/employment_tenure/title', 'President']]"
2,503,2354.json,True,Says State Rep. Kristi Thibaut was an ACORN lobbyist.,"[['200', 'organization/role/leaders./organization/leadership/person', 'Acorn'], ['200', 'people/person/employment_history./business/employment_tenure/title', 'United States House of Representatives']]"
3,2484,980.json,False,Secretary Geithner has left the option on the table of abandoning the dollar for a multinational currency.,"[['Timothy F. Geithner', 'people/person/employment_history./business/employment_tenure/title', 'Secretary']]"
4,2486,6457.json,False,Says U.S. Rep. Martin Heinrich spent a trillion of our tax dollars on a stimulus for failed companies here and jobs overseas.,"[['Martin Heinrich', 'people/person/employment_history./business/employment_tenure/title', 'REP']]"
5,638,7473.json,False,Says Gov. Rick Scott cut more government jobs than were created in the private sector in Florida in 2012.,"[['Rick Scott', 'people/person/employment_history./business/employment_tenure/title', '.gov']]"
6,644,3747.json,False,"George Allen had 40,000 earmarks while he was a senator.","[['George Allen', 'people/person/employment_history./business/employment_tenure/title', 'Senator']]"
7,1254,10707.json,False,Says U.S. Rep. Patrick Murphy has sided with the GOP on key votes twice as often as he sided with Democrats.,"[['Patrick Murphy (Pennsylvania politician)', 'organization/role/leaders./organization/leadership/person', 'Det republikanske parti (USA)'], ['Patrick Murphy (Pennsylvania politician)', 'people/person/employment_history./business/employment_tenure/title', 'REP'], ['Patrick Murphy (Pennsylvania politician)', 'organization/role/leaders./organization/leadership/person', 'Det republikanske parti (USA)'], ['Patrick Murphy (Pennsylvania politician)', 'organization/role/leaders./organization/leadership/person', 'Det republikanske parti (USA)'], ['Patrick Murphy (Pennsylvania politician)', 'organization/role/leaders./organization/leadership/person', 'Det republikanske parti (USA)'], ['Patrick Murphy (Pennsylvania politician)', 'organization/role/leaders./organization/leadership/person', 'Det republikanske parti (USA)']]"
8,2,1585.json,True,House Speaker Nancy Pelosi said this week that the Democrats have to pass their terrible health care bill so that the American people can actually find out whats in it.,"[['Nancy Pelosi', 'people/person/employment_history./business/employment_tenure/title', 'Speaker i Representantenes hus i USA']]"
9,18,6632.json,True,Says Bruce Springsteen played in 1975 at Seton Hall University in South Orange at Walsh gym.,"[['Bruce Springsteen', 'organization/role/leaders./organization/leadership/person', 'Seton Hall University']]"
10,30,3459.json,True,"Since President Obama took office, gas prices have gone up 67 percent.","[['Barack Obama', 'people/person/employment_history./business/employment_tenure/title', 'President']]"
11,34,2929.json,False,"When President Franklin D. Roosevelt started Social Security, it only affected widows and orphans, and when Medicare began, it was a small program.","[['Franklin D. Roosevelt', 'people/person/employment_history./business/employment_tenure/title', 'President'], ['Franklin D. Roosevelt', 'organization/role/leaders./organization/leadership/person', 'Social Security (United States)']]"
12,42,12573.json,True,"When he served as governor, Schwarzenegger preserved more land than any other gubernatorial administration in Californias history.","[['Arnold Schwarzenegger', 'people/person/employment_history./business/employment_tenure/title', 'Governor']]"
13,45,11450.json,True,Rep. Peter Petrarca voted on two pieces of legislation that helped auto body shops ... and at that point I think there is a conflict of interest.,"[['200', 'people/person/employment_history./business/employment_tenure/title', 'REP']]"
14,46,11128.json,False,Says Hillary Clinton refuses to testify before Congress about the 2012 attack in Benghazi.,"[['Hillary Clinton', 'organization/role/leaders./organization/leadership/person', 'United States Congress']]"
15,61,9478.json,False,ISIS leader Abu Bakr al Baghdadi was released by Obama in 2009.,"[['Abu Bakr al-Baghdadi', 'organization/role/leaders./organization/leadership/person', 'Den islamske staten Irak og Levanten'], ['Abu Bakr al-Baghdadi', 'organization/role/leaders./organization/leadership/person', 'Barack Obama'], ['Abu Bakr al-Baghdadi', 'people/person/employment_history./business/employment_tenure/title', 'Leadership']]"
16,72,6752.json,True,Says that in the U.S. House of Representatives weve had bipartisan support for the repeal of Obamacare for getting rid of cap and trade for building the Keystone Pipeline.,"[['Representantenes hus (USA)', 'organization/organization/headquarters./location/mailing_address/country', 'Us (2019 film)']]"
17,80,10660.json,False,Says Gov. Scott Walker has been rated Americas most factuallychallenged politician.,"[['Scott Walker (sanger)', 'people/person/employment_history./business/employment_tenure/title', '.gov']]"
18,81,2318.json,True,Sharron Angle would eliminate the Department of Education.,"[['Sharron Angle', 'organization/role/leaders./organization/leadership/person', '200'], ['Sharron Angle', 'organization/role/leaders./organization/leadership/person', '200']]"
19,88,3373.json,False,"In slashing 1.7 billion from Social Security, Rep. Jim Renacci may end up forcing the entire agency to ... shut down for a month, causing seniors to not get their benefits on time, halting claims processing, and forcing new retirees and disabled workers into a backlog.","[['Jim Renacci', 'people/person/employment_history./business/employment_tenure/title', 'REP']]"
